nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte,Partea de venituri care ar trebui sa aducă extinderea aplicării și creșterea colectării ,"Accize, impozite și taxe",1,0,0,venitur fiscal buget sunt dependent venitur tax impoz indirect,part venitur car treb aduc extind aplicar crest colectar,acciz impoz tax
"In momentul actual nu ma nemultumeste nimic, datorita faptului ca nu sunt foarte implicata pe aceasta parte economica.",As schimba neregulile pe care le intalneste orice cetatean de zi cu zi.,Sistemul fiscal actual imi ofera doar unele indatoriri pe care le are orice cetatean al unei comunitati.,0,0,0,moment actual nemultumest nimic dator fapt sunt foart implic aceast part econom,schimb neregul car intalnest oric cetatean,sist fiscal actual ofer doar une indatorir car oric cetatean une comun
"Gestionarea ineficienta a veniturilor colectate (lipsa calitatii nivelului de trai, dotarea slaba a spitalelor, lipsa infrastructurii moderne si degradarea celei actuale, acordarea ajutoarelor sociale persoanelor care nu sunt in situatii de incapacitate fizica/mentala), lipsa infrastructurii IT (obligativitatea impusa de lege a schimbarii caselor de marcat desi nu se pot conecta la serverele ANAF pentru ca nu sunt functionale), impozitarea insuficienta a bunurilor/veniturilor care nu pot fi justificate, obligativitatea platii a CASS.","Restabilirea cheltuielilor publice si efectuarea controalelor pentru a ne asigura ca veniturile colectate se folosesc in mod corespunzator, dezvoltarea infrastructurii IT pentru a facilita interactiunea dintre contribuabili si sistemul fiscal public, cat si efectuarea controalelor cu minimum de efort, impozitarea mai stricta a veniturilor/bunurilor nejustificate, efectuarea controalelor periodice a agentilor economici, eliminarea CASS si inlocuirea acestuia cu un card pe care lunar sa fie virata de catre angajator o suma de bani din salariu si care sa poata fi utilizata in cazul consultatiilor si interventiilor medicale, cat si pentru achizitionarea medicamentelor si a materialelor necesare pentru acordarea ingrijirilor medicale.",Unele facilitati fiscale.,0,0,1,gestion ineficient venitur colect lips calitat nivel tra dotar slab spital lips infrastructur modern degrad cele actual acord ajutoar social persoan car sunt situat incapac fizica mental lips infrastructur oblig impus leg schimbar cas marcat des conect serv anaf pentru sunt functional impozit insuficient bunurilor venitur car justific oblig plat cass,restabil cheltuiel public efectu controal pentru asigur venitur colect folos corespunz dezvolt infrastructur pentru facil interactiun dintr contribu sist fiscal public efectu controal minimum efort impozit strict veniturilor bunur nejustific efectu controal period agent econom elimin cass inlocu acestui card car lunar virat catr angaj sum ban salariu car poat utiliz caz consult intervent medic pentru achizition medicament material neces pentru acord ingrijir medic,une facil fiscal
-,-,-,1,1,1,,,
Nimic ,Nu stiu ,Multe avantaje si dezavantaje,0,0,1,nimic,stiu,mult avantaj dezavantaj
Taxele și impozitele prea mari,"As scuti firmele noi înființate de taxe și impozite
",Un blocaj ,0,0,0,tax impoz pre mar,scut firm infiint tax impoz,blocaj
Taxele și impozitele prea mari,As scutii firmele noi înființate de taxe și impozite ,Nu prea multe ,0,0,0,tax impoz pre mar,scut firm infiint tax impoz,pre mult
-,-,-,1,1,1,,,
Lipsa de transparență a bugetului de stat,"Impozitul pe profit să ajungă la micile întreprinderi până la 7% (pentru a le putea permite dezvoltarea), iar la firmele de proporții mari să rămână neschimbată","O infrastructură din ce în ce mai bine structurată, dar desigur, la acest nivel mai este de lucru din punctul meu de vedere ",0,0,1,lips transparent buget stat,impoz profit ajung mic intreprinder pan pentru put permit dezvolt firm proport mar raman neschimb,infrastruct bin structur desigur acest nivel este lucru punct veder
Dezechlbrele care ar trebui corectate.,Ar fi mai multe de schimbat!,"Sistemul Fiscal actual nu oferă, ba din contră, impune taxe și impozite.",0,0,0,dezechlbr car treb corect,mult schimbat,sist fiscal actual ofer contr impun tax impoz
"Dezorganizarea, lipsa transparentei",As actiona mai mult in beneficiul contribuabililor,Servicii publice ,0,1,1,dezorganiz lips transparente,action mult benef contribu,servic public
Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,Aș mări salariile persoanelor fizice.,Stabilitate.,1,0,1,tar noastr dintr cel redus cot europ impoz venit persoan fizic,mar salar persoan fizic,stabil
"De multe ori taxele si impozitele nu acopera toate domeniile cum ar trebui, de exemplu infrastructura Romaniei, capitol la care stam destul de prost.","Daca as fi ministrul finantelor publice as incuraja mai mult firmele mici sa se dezvolte, pentru a crea o economie mai dezvoltata.","Sistemul fiscal actual ofera locuri de munca, servicii administrative pentru toata lumea.",0,1,1,mult tax impoz acoper toat domen treb exemplu infrastructur roman capitol car stam dest prost,dac ministr finant public incuraj mult firm mic dezvolt pentru cre econom dezvolt,sist fiscal actual ofer locur munc servic administr pentru toat lum
Nimic ,Nimic ,De toate ,0,0,1,nimic,nimic,toat
Nimic,Nimic,Siguranță,0,0,1,nimic,nimic,sigurant
"Unele impozite sunt o aberatie, iar impozitele pe salariile angajatilor sunt prea mari.",Daca as fii ministru de finante as cauta metode de a aduce inapoi cat mai multi romani inapoi acasa.,Sistemul fiscal actual ne cam ofera dezamagire la fiecare final de luna.,0,0,0,une impoz sunt aberat impoz salar angaj sunt pre mar,dac ministru finant caut metod aduc inapo mult roman inapo acas,sist fiscal actual ofer dezamag fiec final lun
Gradul de transparență scăzut referitor la modul de cheltuire a banilor publici ,O evidenta ma clară a modului de cheltuire a banilor publici ,Finanțarea serviciilor publice ,0,1,1,grad transparent scazut refer mod cheltu ban public,evident clar mod cheltu ban public,finant servic public
Nu este in totalitate transparent asupra cheltuielilor făcute .,Metodat de plată sa fie electronică pt abolirea evaziunii fiscale.,Servicii publice.,0,0,1,este total transparent asupr cheltuiel facut,metod plat electron abol evaziun fiscal,servic public
"Fiscalitate complicată din punct de vedere contabil
Interpretabilitatea Codului Fiscal",Aș implementa sistemul fiscal american care e mai simplu și mai clar,Servicii publice deficitare,0,1,0,fiscal complic punct veder contabil interpret cod fiscal,implement sist fiscal american car simplu clar,servic public deficit
Oscilarea oborului si a comisioanelor,Impozite si taxe mai mici,"Un servici public de care voi avea nevoie(iluminat public, spitale moderne, gratuitati) ",0,0,1,oscil obor comisioan,impoz tax mic,servic public car ave nevoi ilumin public spital modern gratuitat
Nimic,Atragerea de noi investiții și crearea de noi locuri de muncă,Asigură bugetul statului ,0,1,1,nimic,atrag investit crear locur munc,asig buget stat
Birocrația,Aș simplifica procedurile si as reduce hartiile de completat,O anumita siguranta a demersului public,0,0,1,birocrat,simplif procedur reduc hart complet,anum sigur demers public
 Sunt o prelevare fără contracompensație și au caracter obligatoriu.,"Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.","Resursele financiare publice se formeaza pe baza veniturilor fiscale și astfel,
modalitatea de a acoperi nevoile publice depinde foarte mult de impozite, implicit de
componenta fiscală.",1,0,0,sunt prelev far contracompensat caracter obligatoriu,part cheltuiel treb prim crest eficiente aloc fondur taier oarb sum far modific structur utiliz,resur financiar public formeaz baz venitur fiscal astfel modal acoper nevo public depind foart mult impoz implic component fiscal
Nimic,Personalul ,O anumită siguranță,0,1,0,nimic,personal,anum sigurant
Nimic. ,Nu știu un răspuns la aceasta întrebare. ,Îmi oferă servicii de asistenta socială. ,0,0,0,nimic,stiu raspuns aceast intreb,ofer servic asistent social
Schimbarile prea dese care nu te ajuta la intocmirea unui plan de afaceri.,Urmarirea atenta a distribuirii banilor publici.,O oarecare siguranta si unele schimbari in bine.,0,0,0,schimbar pre des car ajut intocm unu plan afacer,urmar atent distribuir ban public,oarec sigur une schimbar bin
"Este prea ""stufos"" și greu de găsit informațiile",Măsurile de sancționare în cazul firmelor.,O egalitate față de toți cetățenii care trebuie să își plătească taxele și impozitele.,0,0,1,este pre stufos greu gasit informat,masur sanction caz firm,egal fat tot cetaten car trebui plat tax impoz
Corupția care își face prezența in toate sistemele din Romania!! ,Aproape tot.,Aproape nimic față de cât oferim noi!,1,1,0,corupt car fac prezent toat sistem roman,aproap,aproap nimic fat ofer
"Cum nu m am confruntat cu vreo problema din cauza sistemului fiscal încă, nu pot spune ca ceva ma nemulțumește ",Chiar nu stiu,"O oarecare stabilitate si transparență.
Dacă am inteles bine intrebarea",1,0,0,confrunt vreo problem cauz sist fiscal inca spun cev nemultumest,chiar stiu,oarec stabil transparent dac inteles bin intreb
Ar trebui modernizat și transparentizat . Deschiderea față de contribuabil si ajutarea lui ar trebui facuta in primul rând și apoi aplicarea de contravenții.,Aș aloca mai mulți bani pentru a încuraja noi antreprenori la înființarea firmelor.,Nu știu.,1,0,0,treb moderniz transparentiz deschid fat contribu ajut treb facut prim rand apo aplic contravent,aloc mult ban pentru incuraj antreprenor infiint firm,stiu
Faptul că veniturile fiscale și bugetaresunt dependente de veniturile din taxele și impozitele indirecte.,Lărgirea bazei de aplicare și creșterea eficienței în colectare.,Aplicarea normelor fiscale corect,1,0,1,fapt venitur fiscal bugetaresunt dependent venitur tax impoz indirect,larg baze aplic crest eficiente colect,aplic norm fiscal corect
Nivelul ridicat al birocrației,Mai multe investiții și diminuarea cotelor taxelor,Asigurare socială,0,1,1,nivel ridic birocrat,mult investit diminu cot tax,asigur social
Impozitul pe salarii , -,Nemultumiri,0,1,0,impoz salar,,nemultumir
Faptul ca acesta nu încurajează destul investițiile. ,Aș încuraja investițiile în infrastructură și as oferi mai multe beneficii angajatorilor astfel incat sa fie locuri de munca mai bine plătite. ,"Siguranță că de acei bani pe care i-am plătit sub formă de impozite și taxe, o sa beneficiez în viitor sub forma de servicii publice. ",0,1,0,fapt acest incuraj dest investit,incuraj investit infrastruct ofer mult benef angaj astfel incat locur munc bin platit,sigurant ace ban car i am platit form impoz tax beneficiez viitor form servic public
"Mă nemulțumește că sistemul fiscal românesc este condus de politiceni, ar trebui interzis prin Constituție ca politicienii să dea scutiri de impozite și contribuți","Sunt 2 metode. 2 instrumente. Una e scutirile și a doua - evaziunea. Dacă vrem să vorbim de stabilitate, noi o să începem cu eliminarea scutirilor și să continuăm cu eliminarea evaziunii.",Cred că suntem singura țară cât de cât civilizată unde impozitul pe venit e mai mic decât impozitul pe profit. Acest impozit pe venit de 10% părerea mea e că nu e sustenabil.,0,0,0,nemultumest sist fiscal roman este condus politicen treb interzis prin constitut politicien scutir impoz contribut,sunt metod instrument scutir dou evaziun dac vrem vorb stabil incep elimin scutir continu elimin evaziun,cred sunt singur tar civiliz unde impoz venit decat impoz profit acest impoz venit parer susten
seviciile publice nu sunt la nivelul asteptarilor , as elimina numarul mare de taxe fiscale si parafiscale,servicii publice,0,0,1,sevic public sunt nivel asteptar,elimin numar mar tax fiscal parafiscal,servic public
Impozitele prea ridicate.,As restabile impozitele si as cauta soluti pentru micsorarea acestora astfel ca platirea impozitelor sa nu fie o problema financiara pentru nimeni.,"Impozite ,taxe si contributi sociale.",0,0,0,impoz pre ridic,restabil impoz caut solut pentru micsor acestor astfel plat impoz problem financiar pentru nimen,impoz tax contrib social
Grad de transparentă scăzut. Servicii publice slabe calitativ,"As schimba modul de impozitare pe venit. Cine realizează venituri mai mari sa fie totuși impozitat Mai mult decât cel care realizează venituri mai mici, dar nu atât de mult. As schimba cota de impozitare.","Servicii publice, sprijin financiar celor care au nevoie",0,0,1,grad transparent scazut servic public slab calit,schimb mod impozit venit cin realiz venitur mar totus impozit mult decat car realiz venitur mic atat mult schimb cot impozit,servic public sprijin financiar celor car nevoi
..,..,..,1,1,1,,,
-, Aș scade TVA deoarece având o cota mai mică societățile comerciale ar plăti TVA mai mult. Cu alte cuvinte nu ar mai face evaziune fiscală.,-,1,0,1,,scad deoarec avand cot mic societat comercial plat mult alte cuvint fac evaziun fiscal,
Sistemul fiscal din România are nevoie de mai multă stabilitate.,M-aș axa pe dezvoltarea și implementarea unei strategii fiscale moderne.,Finanțează serviciile publice.,0,1,1,sist fiscal roman nevoi mult stabil,m as dezvolt implement une strateg fiscal modern,finant servic public
Totul,Aproximativ tot ,Taxe si impozite,1,1,1,tot,aproxim,tax impoz
Impozitarea mare din salarul brut,Dezvoltarea sistemului informatic al institutiilor fiscale.,"Asigura colectarea de bani de la cetateni și firme,susținând aplicarea politicilor economice si binele intregii comunitați",0,1,1,impozit mar salar brut,dezvolt sist informat instit fiscal,asigur colect ban cetaten firm sustin aplic polit econom bin intreg comunitat
Nivelul ridicat al birocrației. Schimbarea continuă a codului fiscal.,"-As debirocratiza sistemul fiscal si as ramane la un cod fiscal constant si previzibil macar pe o perioadă de 3 ani
-As diferenția firmele mari de microintreprinderi (pentru microintreprinderi si firele mici,  un cod fiscal simplificat )",un nivel de impozit mic fata alte tari din europa ,0,0,0,nivel ridic birocrat schimb continu cod fiscal,debirocratiz sist fiscal raman fiscal constant previz macar perioad diferent firm mar microintreprinder pentru microintreprinder fir mic fiscal simplific,nivel impoz fat alte tar europ
.,.,"Nu cred ca ne oferă ceva deocamdată, noi avem de platit taxe și impozite.",1,1,0,,,cred ofer cev deocamd avem platit tax impoz
"faptul ca ne crestem gradul de indatorare, nu alocam destui bani serviciilor de sanatate, educatie etc","modul de distribuire al veniturilor. As aloca mai multi bani in locurile care in viitor imi vor genera venituri din care voi putea acoperi pierderile, as sprijini antreprenorii care creaza noi locuri de munca in zone defavorizate","in opinia mea nu pot spune ca beneficiem deplin de avantajele sistemului fiscal actual, deoarece acesta ar trebui sa fie reglementat sau cel putin sa se focalizeze mai mult pe nevoile actuale ale societatii ",0,0,1,fapt crest grad indator aloc dest ban servic sanat educat,mod distribu venitur aloc mult ban locur car viitor gener venitur car put acoper pierder sprijin antreprenor car creaz locur munc zon defavoriz,opin spun benefic deplin avantaj sist fiscal actual deoarec acest treb reglement putin focaliz mult nevo actual societ
Salariile destul de mici.,Mărirea salariilor.,Servicii publice.,0,0,1,salar dest mic,marir salar,servic public
Serviciile,Personalul,..,1,1,1,servic,personal,
Nu ii intereseaza tara noastra ,Interesul față de sistem ,Impozite ,0,0,1,intereseaz tar noastr,interes fat sist,impoz
Lipsa implicarii in relatia directa cu cetateanul,Gradul de investire a banilor care vin din taxe si impozite,"La nivel de oras (Oradea), parte din fondurile pentru infrastructura orasului ",0,0,1,lips implicar relat direct cetatean,grad invest ban car tax impoz,nivel oras orad part fondur pentru infrastructur oras
Lipsa încrederii ,Aș mări gradul de transparență pentru a oferi încredere cetățenilor,"Anumite servicii publice de genul: învățământ, sănătate, protecție, etc..",0,0,1,lips increder,mar grad transparent pentru ofer incred cetaten,anum servic public gen invatamant sanat protect etc 
Lipsa verificării.,"Reducerea numărului de taxe, încurajarea investițiilor, diminuarea cotelor taxelor.",Nimic bun.,0,0,0,lips verificar,reduc numar tax incuraj investit diminu cot tax,nimic
Nu reușește să facă o balanță echilibrată între venituri si cheltuieli ,"Mai putina birocrație, totul sa fie mai transparent, ",Mici gratuități ,0,0,0,reusest fac balant echilibr intre venitur cheltuiel,putin birocrat tot transparent,mic gratuitat
Nimic în mod deosebit,Reducerea taxelor și a impozitelor,Oferirea de servicii publice de calitate,0,0,1,nimic deoseb,reduc tax impoz,ofer servic public calitat
-,"reducerea numarului de taxe,incurajarea investitiilor",-,1,0,1,,reduc numar tax incuraj invest,
Lipsa transparenței. ,As încerca crearea unu sistem mult mai clar delimitat și mai transparent. ,Ne oferă siguranța ,0,0,0,lips transparente,incerc crear sist mult clar delimit transparent,ofer sigurant
Dezechilibrul între venituri și cheltuieli ,Impozitele și taxele,Impozite,0,1,1,dezechilibr intre venitur cheltuiel,impoz tax,impoz
Impozitele și taxele prea ridicate ,Diminuarea impozitelor și taxelor și incurajarea investițiilor ,"Nu oferă nimic imediat după plata impozitelor și taxelor, este echivalent în timp",0,1,0,impoz tax pre ridic,diminu impoz tax incuraj investit,ofer nimic imed dup plat impoz tax este echivalent timp
Administrarea eficientă ,Scutirea de impozit la firmele debutante,"Deficitul de încasare a TVA ului

",1,0,0,administr eficient,scut impoz firm debut,defic incas ulu
Incapacitatea de admimistrare eficienta a instituțiilor publice de către stat,L-aș face mai transparent și as directiona banii publici în infrastructură și in institutiile care au o importanta majora ,Unele servicii publice gratuite,1,1,1,incapac admimistr eficient institut public catr stat,l as fac transparent direction ban public infrastruct instit car import major,une servic public gratuit
Birocrația excesivă,"Aș duce la o mai bună relaționare intre contribuabili și stat 
Aș încuraja investițiile prin diminuarea unor taxe ","Ne asigura anumite servicii sociale în urma contribuțiilor, dar care nu sunt foarte satisfacatoare",0,1,0,birocrat exces,duc bun relation intre contribu stat incuraj investit prin diminu unor tax,asigur anum servic social urma contribut car sunt foart satisfac
Taxe și impozite prea mari,A-și scuti firmele noi infintate de taxe și impozite ,Nimic,0,0,0,tax impoz pre mar,a si scut firm infint tax impoz,nimic
"Echilibrarea bugetara, în România veniturile fiscale și bugetare sunt dependente din veniturile din taxele și impozitele indirecte. ",Da ,Urmărește realizarea obiectivelor politicii economice și sociale ale statului. ,0,1,1,echilibr bugetar roman venitur fiscal buget sunt dependent venitur tax impoz indirect,,urmarest realiz obiect polit econom social stat
" Birocratia excesiva este una dintre problemele grave ale Romaniei si se manifesta atat in raportarile fiscale care de multe ori sunt redundante, cat si in numarul mare de ore necesar pentru ca o firma sa-si poata plati taxele – 200 de ore si 39 de operatiuni diferite, conform raportului Doing Business 2013-2014.
"," Simplificarea legislatiei si a raportarilor fiscale, implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe. Eliminarea exceptiilor legate de tratarea din punct de vedere fiscal a diferitele tipuri de venituri ( PFA, DDA, etc )

Este utila comasarea informatiilor din declaratiile fiscale legate de TVA intr-una singura ( declaratiile 300, 301, 306, 307, 390, 394 ).

Ridicarea pragului pana la care o firma poate fi neplatitoare de TVA de la 65.000 euro la 100.000 euro.

Absolut toate declaratiile fiscale sa se poata depuna online, in baza semnaturii electronice.
","În opinia mea, sistemul fiscal actual nu ne oferă foarte multe beneficii, ne oferă mai mult stres decât lucruri bune, dupa părerea mea ar trebui schimbate multe lucruri.",0,1,0,birocrat exces este dintr problem grav roman manifest atat raportar fiscal car mult sunt redund numar mar necesar pentru firm sa s poat plat tax operatiun difer conform raport doing business 013-2014,simplific legisl raportar fiscal implement unu calc simplu usor inteles atat pentru contrib social pentru impoz tax elimin except legat trat punct veder fiscal difer tipur venitur este util comas inform declar fiscal legat intr un singur declar ridic prag pan car firm poat neplat 5.000 euro 100.000 euro absol toat declar fiscal poat depun onlin baz semnatur electron,opin sist fiscal actual ofer foart mult benef ofer mult stres decat lucrur bun dup parer treb schimbat mult lucrur
"Diferențele ce se fac între oameni, în funcție de poziția pe care o ocupă în societate.",Gradul de transparență referitor la modul de cheltuire a banului public.,Servicii publice,1,0,1,diferent intre oamen funct pozit car ocup societ,grad transparent refer mod cheltu ban public,servic public
Companiile au o cota sub medie fata de Europa ,Absolut tot,Nimic bun,1,1,0,compan cot med fat europ,absol,nimic
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte.",Aș crește eficiența în alocarea fondurilor.,Nimic ,1,0,0,roman venitur fiscal buget sunt dependent venitur tax impoz indirect,crest eficient aloc fondur,nimic
Ca nu creeaza conditiile necesare,Relatia dintre stat si cetatean,-,0,1,1,creeaz condit neces,relat dintr stat cetatean,
veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte,Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă,un impozit pe salarii extrem de mare :),1,1,0,venitur fiscal buget sunt dependent venitur tax impoz indirect,dezvolt implement une strateg fiscal modern predictib termen mediu lung esential context concurente manifest intre stat europen pentru atrag investit crear locur munc,impoz salar extrem mar
Partea de venituri ar trebui să aducă creșterea eficienței în colectare.,Reducerea numărului de taxe şi a plăţilor afererente sau încurajarea investiţiilor ,Sprijin pentru crearea de locuri de munca si pentru ocuparea fortei de munca,0,0,1,part venitur treb aduc crest eficiente colect,reduc numar tax plat afererent incuraj invest,sprijin pentru crear locur munc pentru ocup forte munc
Transparenta,"Sistemul informatic, as mutat toul in oline, chiar as creea aplicatii","Momentan, sistemul fiscal tinde spre stabilitate",0,1,1,transparent,sist informat mutat toul olin chiar cree aplic,momentan sist fiscal tind spre stabil
Nu este formulat pe înțelesul tuturor. ,Crearea de legi care să ajute la echilibrul dintre veniturile si cheltuielile bugetare.,Legi greu de înțeles care pot fi interpretate. ,0,1,0,este formul inteles tuturor,crear leg car ajut echilibr dintr venitur cheltuiel buget,leg greu inteles car interpret
Taxele ,Amenzile și penalitățile pentru încălcarea legilor fiscale .,Legi ușor de interpretat ,0,1,1,tax,amenz penalitat pentru incalc leg fiscal,leg usor interpret
impozitele si taxele sunt destul de mari pentru un stat in dezvoltare,Cotele taxelor si impozitelor si sistemul de taxare,Servicii publice de slaba calitate,1,1,0,impoz tax sunt dest mar pentru stat dezvolt,cot tax impoz sist taxar,servic public slab calitat
Taxele mari,"Mai multe burse, mai mult ajutor pentru start-upuri",impozite care ne pot ajuta in viitor,0,1,1,tax mar,mult bur mult ajutor pentru start upur,impoz car ajut viitor
Taxele,As investi in infrastructura,Venituri care ar putea fii folosite în scopul dezvoltări ,0,1,1,tax,invest infrastructur,venitur car put folos scop dezvoltar
Taxe mari,As acorda mai mult ajutor firmelor mici,Oportunitati,0,1,1,tax mar,acord mult ajutor firm mic,oportun
Nu este unul transparent,Scutirea de impozite si taxe la crearea unei afeceri ce contribuie la dezvoltarea mediului economic sau creare locurilor de munca,Servicii publice de o calitate medie,0,0,1,este un transparent,scut impoz tax crear une afecer contribui dezvolt med econom crear locur munc,servic public calitat med
Nu e transparent,Legile,Putina incredere,0,0,1,transparent,leg,putin incred
Birocratia ,As reduce taxele si impozitele ,Contribuie la dezvoltarea economico-sociala ,0,0,1,birocrat,reduc tax impoz,contribui dezvolt economico social
Birocrația,Relațiile dintre stat si oamenii ,Servici sociale,0,1,1,birocrat,relat dintr stat oamen,servic social
Mă nemulțumește ANAF-ul ca ne tratează ca pe niște hoți ! 🙃,Aș face ca fiecare vizită a ANAF-ului să fie anunțată și nu pe furiș.,Nu multe înafară de reduceri de venit. ,0,0,0,nemultumest anaf trat nist hot,fac fiec vizit anaf anunt furis,mult inaf reducer venit
Este nerambulsabil,Sa fie transparent ,Siguranta,1,0,1,este nerambuls,transparent,sigur
Faptul ca pe zii ce trece își fac apariția a tot mai multe impozite și taxe și tot mai putine facilitați fiscale. ,"Predictibilitatea, transparența, mai multe facilități fiscale pentru angajatorii care crează noi locuri de munca și nu numai.",Cât mai multe piedici in dezvoltare.,0,0,0,fapt trec aparit mult impoz tax putin facilitat fiscal,predict transparent mult facilitat fiscal pentru angaj car creaz locur munc numa,mult piedic dezvolt
"
În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte. Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.","O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili ar putea fi alte plusuri în creşterea competivităţii ", este cel mai important instrument pe care îl are un Guvern pentru a stimula dezvoltarea economiei.,0,1,1,roman venitur fiscal buget sunt dependent venitur tax impoz indirect part cheltuiel treb prim crest eficiente aloc fondur taier oarb sum far modific structur utiliz,birocr putin exces reduc numar tax plat aferent incuraj invest chiar diminu cot tax precum facilit unu dialog eficient coerent intre autor fiscal contribu put alte plusur crest compet,este import instrument car guvern pentru stimul dezvolt econom
Contributiile prea mari.,"As scadea impozitul pe profit, incurajand astfel noile intreprinderi si as scadea CAS si deducerea personala.",Ne ofera o oarecare imagine asupra sistemului.,0,0,0,contrib pre mar,scad impoz profit incurajand astfel noil intreprinder scad deduc personal,ofer oarec imagin asupr sist
Taxe prea mare din salariul brut ,Salariul la privat sa fie în egala balanta ca și cel de la stat,Multe datorii și prea puține beneficii. ,0,0,0,tax pre mar salar brut,salar privat egal balant stat,mult dator pre putin benef
"modul in care sunt taxate accizele la carburanti, sunt foarte mari in comparatie cu salariile.",modul in care sunt evaluate anumite taxe ,"ne ofera anumite beneficii, pe care le observam in orasul din care facem parte ",1,1,1,mod car sunt taxat acciz carbur sunt foart mar comparat salar,mod car sunt evalu anum tax,ofer anum benef car observ oras car fac part
"Aplicarea impozitului asupra absolut oricărei activități,astefel încât orice vrea să investească,nu va reuși să realizeze un profit deoarece majoritatea se va cheltui pe impozite.",Cuantumul impozitelor,Informații și obligații pe care mulți dintre noi nu le înțelegem.,0,1,1,aplic impoz asupr absol oricare activitat astefel incat oric vre invest reus realiz profit deoarec major chelt impoz,cuantum impoz,informat obligat car mult dintr inteleg
"prea multa birocratie, prea multe impozite prost gandite","As crea un sistem fiscal care stimuleaza productia si investitiile, as sili institutiile statului sa colaboreze si ajute antreprenorii si nu sa-i amendeze (contribuabililor nu ar trebui sa le fie ''frica'' de anaf), as reduce birocratia.",impovarare fiscala si lipsa de predictibilitate,0,0,1,pre mult birocrat pre mult impoz prost gandit,cre sist fiscal car stimuleaz product invest sil instit stat colabor ajut antreprenor sa amend contribu treb 'fric anaf reduc birocrat,impovar fiscal lips predict
-,--,-,1,1,1,,,
Impozite și taxe mari,Birocrația prea multă,Impozite și taxe mari,0,0,0,impoz tax mar,birocrat pre mult,impoz tax mar
impozite si taxe prea mari ,nu stiu ,nimic ,0,0,0,impoz tax pre mar,stiu,nimic
"Nu lasa oamenii de rand sa supravietuiasca cu firmele mici, le terorizeaza persoanele fizice autorizate. Atatea taxe au de platit ca nu mai raman cu mult.","As face un paradis fiscal sa atrag firmele, nu sa le gonesc din tara.",Stres.,0,0,1,las oamen rand supravietuiasc firm mic terorizeaz persoan fizic autoriz atat tax platit raman mult,fac paradis fiscal atrag firm gonesc tar,stres
"Avem un cod fiscal foarte amplu, care este greu de descifrat  si de inteles ! Nu toate veniturile sdin taxe si impozite sunt administrate corespunzător!",Creșterea eficienței în alocarea fondurilor.,Transparență! ,0,0,1,avem fiscal foart amplu car este greu descifr inteles toat venitur sdin tax impoz sunt administr corespunz,crest eficiente aloc fondur,transparent
Coruptia ,Sa se foloseasca banii contribuabililor in scopuri de dezvoltare,Nu prea multe,0,0,0,corupt,foloseasc ban contribu scopur dezvolt,pre mult
Taxe mari.,Scăderea taxelor.,Impozite si taxe pentru orice.,0,0,1,tax mar,scad tax,impoz tax pentru oric
Unele articole sunt greu de înțeles ,Nimic,Nimic ,0,0,0,une articol sunt greu inteles,nimic,nimic
"Nerespectarea obligaţiilor sistemului fiscal către persoanele fizice/juridice, nivelul de transparenţă/încredere scăzut, , lipsa predictibităţii, lipsa unui aparat fiscal digital/tehnologizat în favoarea unui aparat birocratic mare. Exercitarea unei presiuni ridicate asupra mediului privat în comparaţie cu mediul de stat prin colectarea taxelor şi impozitelor şi a controalelor fiscale frecvente","Desfinţarea sistemului birocratic, încurajarea mediului privat prin stimuli economici/fiscali şi digitalizarea aparatului fiscal","Posibilitatea de a activa pe piaţa naţională, garantează desfăşurarea activităţii într-un mediu concurenţial eficient ( statul având rol de arbitraj în mediul pieţei)",0,0,1,nerespect oblig sist fiscal catr persoan fizice jurid nivel transparenta incred scazut lips predictib lips unu apar fiscal digital/tehnologiz favoar unu apar birocrat mar exercit une presiun ridic asupr med privat compar med stat prin colect tax impoz controal fiscal frecvent,desfint sist birocrat incuraj med privat prin stimul economici fiscal digitaliz apar fiscal,posibil activ piat national garant desfasur activ intr un mediu concurential eficient stat avand arbitraj med piete
