1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
"România pierde foarte mulți bani, și nu se stie acele bani unde merg. ","Ași avea o singură taxă de plătit (TVA), care va declanșa faptul că toate firmele care lucrează în negru nu vor risca să lucrează ilegal. Așa că și ele vor plâti o anumită contribuție la stat, care predictibil va mări veniturile bugetare. ","La ora actuală, o anumită sumă de bani, care trebuie plătită ca să fie plătită. Contribuțiile nu prea ne ajută la nimic, chiar dacă mergem la spital, noi trebuie să plătim taxele pentru că nu sunt medicamente, nu sunt locuri pentru un scan de exemplu, și teoretic dacă vrem să trăim, plătim. Indiferent că am plătit zeci de ani de zile pentru stat ca și contribuție la asigurare medicală. "
Mă nemulțumește modul în care se stabilesc impozitele pe partea de venituri.,"Dacă aș fii ministru de finanțe publice, aș încerca să mai reduc din taxe și impozite.","Sitemul fiscal actual ne ofera un nivel destul de ridicat al taxelor pe muncă și al
impozitului pe profit."
Mulți bani se duc nu unde trebuie.,Scoaterea plății taxei pentru ajutor medical.,"Prea mari prețuri, pe care nu student strain nu și le poate permite."
Politica fiscala este destul de dura si aceasta duce la aparitia evaziunii fiscale prin economia subterana.,As oferi mai multa transparenta bugetara si eficietizarea cheltuielilor publice.," Imi ofera protectie sociala, dezvolta infrastructura, locuri de munca."
Nu este transparent,Subvenții fiscale pentru angajatorii care creează locuri de muncă, servicii publice de calitate mijlocie
Irosirea banilor,Taxe,Instabilitate
"Sistemul fiscal romanesc este un sistem rudimentar. Ceea ce ma nemulteste sunt procedurile complicate, de exemplu inregistrarea unei firme la Registrul Comertului, iar mai apoi in scop de TVA necesita mult timp, cat si birocratia excesiva. ","Aplicarea unor sanctiuni mai drastice, reducerea numarului de taxe, reducerea evaziunii fiscale.","Din punctul meu de vedere, sistemul fiscal actual are o contributie semnificativa asupra dezvoltarii economico - sociale a statului. Deoarece sistemul fiscal cuprinde o diversitate de impozite si taxe, acestea afecteaza veniturile tuturor persoanelor fizice sau juridice, mai ales prin intermediul preturilor."
Birocrația ,Reducerea evaziunii fiscale și crearea unor sancțiuni mai drastice. ,Siguranța și ajuta la o dezvoltare economică a statului 
taxe si impozite ridicate,multe,Prin plata taxelor si impozitelor îmi creează senzația că plătesc un seviciu public de care voi beneficia la un moment dat
Coruptia,Aplicarea lui in raport cu functia detinuta. ,Nedreptate
"Faptul că indiferent de suma colectată de către stat, nu se observă diferențe în modul de repartizare a banilor. ",Aș expune într-un mod clar și transparent toate activitățile și informațiile de care cetățeanul are nevoie. ,Servicii publice care în mare parte lasă de dorit în ceea ce privește calitatea lor. 
Corupția ,Ciruptia,Corupție
Faptul că trebuie de rectificat de două sau trei ori pe an,Aș schimba sursele de venit la bugetul statului prin investiții de durată ce ar aduce noi finanțări peste o perioadă,Ne oferă instabilitate și emigrării preponderente spre țările din Vestul Europei sau SUA. Ne mai face ca sediul firmelor să fie plasate în țări numite paradisurile fiscale unde nu plătesc impozite și România nu are de cîștigat nimic dacă sunt asemenea francize
coruptia,multe,nesiguranță
Coruptia si lipsa de specialisti in domeniu fiscal,Punerea in functie doar a persoanelor inalt pregatite deoarece sistemul fiscal este deosebit de important si fragil,Usoare beneficii in cadrul serviciilor publice din pricina ca sunt student
Taxe prea mari pe salarii ,Eliminarea unor taxe cu un grad mic de impact asupra economiei,Taxe si impozite ridicate
Lucrurile se schimba foarte des,Stabilitate ,-
Lipsa stabilitātii,Oamenii care se afla la conducere ,"Nu vād rezultate spectaculoase, serviciile publice nu sunt excelente, economia este instabila, oamenii sunt sāraci . "
Lipsa de stabilitate,Masura split-tva,-
Netransparenta,Relația dintre cetățean si stat pe domeniul fiscal,Un anumit nivel de siguranța 
Netransparența.,Mai multă transparență în ceea ce priveşte fiscalitatea.,Stabilitate fiscală.
.,.,. 
"
Sistemul fiscal este un sistem birocratic si corupt.","reformarea sistemului fiscal  tinand cont de cateva principii : simplificare, echitabilitate, predictibilitate", urmăreşte realizarea obiectivelor politicii economice şi sociale a statului
Multe.,Nu știu ,Nimic
Se platesc multe impozite si taxe dintr-un salariu mic.,-,-
Tot,Taxele ,Nimic
"In Romania veniturile fiscale si bugetare sunt dependente de veniturile din taxele si impozite indirecte,in timp ce in UE contributiile celor mari 3 categorii de impozite si taxe sunt relativ apropiate la formarea venitului. ","Este nevoie de mai multa transparență ,stabilitate si predictabilitate in politica fiscala,iar povara administrativa de pe umeri contribuabililor trebuie redusa prin eficientizarea sistemului de administratie fiscala.",Asigurarea res.financiare.
-,-,-
birocratia,birocratia si anumite demersuri aferente investitiilor ,accesul la anumite servicii
taxe ridicate ,as schimba ceva in asa fel incat sa sustin sistemul juridic,taxe mari
Birocratia,Birocratia,Accesul la anumite servicii publice
Controlul tot mai des a firmelor,Impozit mai mic pe profit,Impozit mare pe orice.
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte (TVA, accize, taxe vamale etc.)","  O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili ar putea fi alte plusuri în creşterea competivităţii României.
  Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.
  Trebuie promovate nu doar depunerea electronică a declaraţiilor fiscale şi plata electronică a acestora, dar şi controalele fiscale electronice.
  Este nevoie de mai multă stabilitate, transparenţă şi predictabilitate în politica fiscală.",Asigură resursele financiare necesare îndeplinirii rolului statului în economie.
Nu are logica și este corupt.,Nu știu ,Ne oferă diferite informații economice. 
Sistemul fiscal ii greu si necesita implicarea unor contabili pentru ca cetățenii să.si depună la timp declarațiile de venit. ,As incerca sa simplific munca de colectare și evidența impozitelor. ,O putere fiscală.
"Birocratia, inconsistenta si nepredictabilitatra",As incerca sa schimb cat mai putin pentru a nu ii bulversa pe oameni ,Foarte putine beneficii
"Birocrația
","Având in vedere faptul ca materia Finanțele publice ne-a ajutat sa ne formam o imagine obiectiva asupra statului si funcționalitățile acestuia , eu unul as realiza unele schimbări favorabile atât pentru stat cât și pentru cetățeni.",Unele beneficii dar și unele piedici din punct de vedere economic
"Lipsa de predictibilitate si de transparenta.
Informatizare redusa.
Inechitate.
Subordonare politica.
Lipsa de eficienta.","Gradul de transparenta.
Imbunatatirea interactiunii online.
Cresterea responsabilitatii fata de platitorii de taxe.",Ocazia de a colecta si a irosii banii prin ineficienta si coruptie.
"După cum văd eu sistemul fiscal românesc încă există aspecte care trebuie îmbunătățite, precum: comunicarea dintre instituțiile publice și cetățeni, elaborarea bugetelor.",Categoric m-aș axa pe oferirea unor servicii publice de calitate deoarece prima interacțiune a unei persoane cu sistemul fiscal este prin intermediul reprezentanților publici ai acestuia.,"Accesul la studii gratuite, burse de merit și facilități la transportul în comun."
coruptia !,As dori sa fac ca totul sa fie transparent in ceea ce priveste cheltuielile !!, .
Faptul că banii colectați nu sunt investiți si administrați în mod corect de către stat.,"modul ce colectare și administrare, imtroducerea penalizărilor pentru neplată sau neplată la timp","Încă în momentul de față banii colectați nu sunt administrați cum trebuie, deci sistemul fiscal nu oferă prea multe avantaje sau beneficii."
Dezechilibrarea veniturilor după proveniență,"reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor","ajutoarele pentru bolile grave și incurabile, ajutoarele pentru dispozitive medicale"
"Proasta gestionare a banului public de catre persoanele aflate la conducere , folosirea acestora ca instrument de manipulare a maselor de oameni , lipsa transparentei privid cheltuielile pe care statul le realizeaza , serviciile proaste in cadrul institutiilor publice.","As incerca sa eficientizez procesul de colectare a taxelor si impozitelor , prin educarea contribuabililor.","Ofera o oarecare siguranta ( șubredă ) deoarece acesta intr-o mare masura asigura bugetul de stat , care mai apoi este folosit pentru asigurarea serviciilor publice si investitile in infrastructura , de proasta calitate la momentul actual ."
Incertitudinea,Predictibilitatea lor,Bătăi de cap
Faptul ca se tot schimba,"As incerca sa gasesc un mijloc prin care sa incerc sa ""echilibrez"" situatia",Nu prea multe
"Transparenta, încrederea",As oferi siguranța mai multă și transparenta,Prea putine lucruri pozitive
"Platim taxe si impozite pentru a putea beneficiia de anumite servicii dar nu beneficiem niciodata de ele, banii sunt distribuiti pe salariile bugetarilor","modul de colectare a banilor din taxe si impozite, gestionarea banilor, colectarea de la corporatii",o povara si un stres enorm
-,Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.,Impozitele mici
Stabilitatea,Scutorea de taxe si impozite,Taxe in plus
Impozitele pe salarii ,Aș modifica impozitele pe salarii ,Ne asigura siguranta finanțări serviciilor publice
Schimbarile dese,Aplicarea legilor penteu toti in mod egal,Nesiguranta
Nimic,Nu ştiu ,"Sist fiscal îmi oferă serviciile publice , şi ceea ce ţine de acestea."
"Că deseori când avem nevoie de servicii publice, nu putem primi pentru că organizaţiile publice nu mai au fonduri, nici pentru persoanele care plătesc taxe si impozte regulat.",Dacă eu aşi fi ministrul finanţelor publice aşi schimba acea lege care prevede impozitarea salariilor persoanelor atât din domeniul privat cât şi public.,Ne oferă o securitate fiscală şi ajută în organizarea bugetelor publice.
Pe mine mă nemulțumește la acest sistem faptul că plătesc anumite taxe și impozite la anumite instituții de la care nu primesc nici un beneficiu ,Eu ași schimba ca aceea lege să fie eliminată pentru ca să nu plătim taxe și impozite anumitor insituți de la care nu avem nici un beneficiu.,În opinia mea sistemul fiscal actul ne oferă o organizare regulată a banilor publici și o securitate fiscală potrivită.
"Sistemul fiscal  romanesc nu este transparent,in ciuda faptului ca cetateni isi platesc taxele si impozitele noi nu  beneficiem de servicii publice de calitate si multe altele",Daca as fi ministrul finantelor publice cu siguranta as urmari gestionarea banilor mai indeaproape si apoi as reorganiza gestionarea banilor.,servicii publice spre ex servicii de sanatate minime
Taxele.,Personalul.,Servicii de protectie sociala.
Prea multe schimbari si nu se ajunge la cea mai bună soluție.,Sa fie mai atenti cand fac schimbari si sa experimenteze înainte ca acestea sa fie adoptate.,"Cum distribuie fondurile către instituții, care sunt resursele financiare care contribuie la economie, pe plan financiar cum ar fi de conducere si reglementare si multe altele ."
Impozitarea microintreprinderilor cu 1% din venituri,modificări la legislaţia privind prevenirea şi combaterea evaziunii fiscale,Este computerizat
Nu mi se pare că banii sunt investiți acolo unde este nevoie de ei ( ex  în sistemul de sănătate ),As  investi mai mulți bani în sistemul de sănătate ,Taxe destul de ridicate și oamenii beneficiază de niște servicii foarte slab calitativ în raport cu taxele  
tot,TVA-ul,nimic
Taxele și impozitele ,Taxele și impozitele ,Facilități fiscale
"Banii, taxele",Taxele si impozitele,Facilitati 
Taxele si impozitele,Taxele si impozitele,Prea multe taxe
Taxele si impozitele,Taxele si impozitele ,Multe taxe si impozite
Taxele și impozitele prea mari,Taxele și impozite ,Facilitați 
"Sistemul fiscal trebuie să fie dirijat astfel încât să urmărească strângerea tuturor obligaţiilor .





","
Personal fiscal cu o scută  pregătire de specialitate.","Sistemul fiscal îmi oferă finanțarea serviciilor publice
"
Impozitarea microintreprinderilor cu 1 % din venituri ,Legislația privind prevenirea și combaterea evaziunii fiscale ,Este computerizat 
"Nu se reabiliteaza scoli, spitale, dar se aloca bani pentru biserici.",Micsorarea TVA-ului,Nimic care sa ma incante.
Taxe prea mari schimbari prea mici,As scadea toate taxele foarte mult deoarece sunt enorme si nu prea se vad mari schimbari in domeniile cele mai importante' invatamantul si spitalele,Multa bataie de cap
"Condițiile medicale, școlare culturale sunt destul de slab dezvoltate","Punerea accentului pe mai multă practica in scoli, punere in funcție a autostrăzilor și mai putine taxe ",Nu prea multe in acest moment 
Taxe si impozite mari si salariile mici.,"Să fie un sistem mai transparent, taxele mai mici, încurajarea investițiilor",Nu prea multe in acest moment.
Prea multe taxe și impozite ,Nu stiu,Unele Beneficii
"Consider ca impunerea si cresterea taxelor ,nu fac decat sa afecteze economia subreda a tarii.Sustinerea a nenumarate servicii sociale fara o economie ce o poate sustine, este o insulta adusa contribuabililor.Romanul este sarac,si pe langa salariul minim  de 2080 ron , acestuia i se ia 40%,832 de lei,din care inca acesta trebuie sa plateasca si alte taxe.
Consider ca pe langa salariul mic, angajatorul sustine contributia angajatorului la munca, iesindu-i 2127 lei per angajat,statul primind atat de la angajator cat si de la angajat 862 de lei.
Si de toti banii adunati la bugetut de stat infrastructura nu avem, conditii in spitale nu avem,dar ne permitem sa crestem salariile bugetarilor si politicienilor la sume de 5000 10000 de lei,sa nu mai mentionez coruptia si ura fata de sectorul privat al acestei Tari.","Daca as fi ministrul de finante al Romaniei, as incerca sa incurajez lumea sa isi cheltuie banii in fonduri de investii, vizate la dezvoltarea infrastructurii,incercarea de a mentine leul la 4.66 fata de euro pentru a indeplini contitiile pentru adoptarea Euro, si scutirea de CAM a Firmelor care au un profit net anual sub 1.000.000 de euro sub an pentru a-i determina sa angajeze oameni.
As reduce din deduceri la 35%, CAS si CASS ,la persoanele ce nu au suferit de sanatate, avand nevoie de tratamente sau medicamente platite de stat in ultimii 3 ani ,dar as ridica tva-ul la 20% , acel 1% fiind dedicat exclusiv dezvoltarii.","Sistemul fiscal actual ofera cetateanului roman un sistem medical accesibil pentru toata lumea, ajutoare sociale(abuzate), pensii, drumuri si ne furnizeaza caldura si apa."
"-suntem supuși unor taxe foarte mari, de care s-ar putea să nu beneficiem, deoarece nu avem nevoie o perioadă de timp de respectivele servicii; de exemplu sănătatea.
- neseriozitate","- aș ține seama de condițiile sociale și economice.
- creșterea eficienței în alocarea fordurilor
- echilibrarea într-o anumită măsură astfel încât și clasa de jos; muncitoare să poată să se integreze în sociatatea nostră și să crească, să se dezvolte, să-și depășească condițiile.","Sistemul fiscal actual mai mult colectează taxe decât să ofere cetățenilor serviciile pe care le-ar merita și de care ar avea nevoie în urma acestora. Astfel sunt cetățeni care au nevoie de exemplu de îngrijiri medicale amănunțite și de care nu beneficiază din diferite lipsuri( aparatură, personal atc) sau pur și simplu trebuie să plătească pentru anumite intervenții speciale deoarece acestea nu intră în asigurare."
Tot,La fiecare parte cate ceva,Nimic
Plata unor anumite impozite si taxe inutile. ,"Scutirea unor taxe si impozite pentru investitori pe o perioadă determinată.  
Acordarea de subvenții in domeniul agriculturii.
Dezvoltarea turismului în anumite zone .
","Protecția persoanelor cu venituri mici sau a persoanelor cu handicap.
Finanțarea cheltuielilor publice. "
"Lipsa transparenței, proasta comunicare cu cetățenii, proasta informare a cetățenilor și modificările aproape săptămânale ale tipurilor de documente necesare plății unor taxe sau impozite. ","Transparență, cetățeni informați, mai putina birocrație, eficienta sistemului fiscal. ","Multe hârtii, drumuri de la un ghișeu la altul pentru plata unu impozit etc. "
Taxe și impozite,Taxe și impozite,Facilități
Nimic,Totul,Taxe si impozite
Nu s-au gasit solutii pentru a fi toata lumea multumita ,As incerca sa gasesc solutii optime pentru a împăca pe toata lumea,Transparenta
Nedreptățile ,Eliminarea unor taxe inutile ,"Nimic bun , doar o grămadă de taxe și impozite "
Nu mă nemulțumește.,Nu doresc să schimb nimic.,Nu prea multe.
Taxele si impozitele,Aproape tot sistemul ,La momentul actual nimic
Faptul ca in unele situații se contrazice și nu este suficient de transparent.,Referitor la impozitul pe profit as anula scutirea de la plata a persoanelor juridice care nu realizeaza profit,Deocamdată incertitudine
"Gradul de transparență,scăzută ",Repartizarea banilor,Multe taxe și impozite
Conducerea ,As trata mai cu seriozitate problemele pe care noi ca stat le intampinam. As incerca sa scap de tot ce e corupt. ,"Sistemul actual este unul învechit, ne ofera un model negativ de gandire. "
"Din punctul meu de vedere, sistemul fiscal românesc este unul corupt, iar dorința celor care îl guvernează de al redresa mi se pare că este aproape inexistentă.","Dacă aș fi ministrul finanțelor publice aș fi mult mai strictă și mai drastică referitor la modul în care ceilalți vor să corupă, să fure sau să ascundă anumite situații.","Din punctul meu de vedere, sistemul fiscal actual este unul îmbătrânit, dar sper ca în viitor să se redreseze."
Prea multe taxe și impozite ,"Servicii publice mai rapide, as prezenta cetățenilor mai clar ce se întâmpla cu bani din impozite și taxe","Multe taxe și impozite de plătit , de complectat o mulțime de declarații "
Dezinteresul față de problemele reale. Ar trebui să le dea de gândit și să facă ceva folositor în sensul ăsta.,"Sunt multe lucruri pe care le decid oameni fără informații, iar acest lucru l-aș schimba astfel încât soarta sistemului fiscal să nu depindă de oameni dezinteresați și neinformați.",Îmi asigură serviciile publice administrative de care am nevoie într-un stat democratic.
"Ma nemultumeste la acest sitem fiscal faptul ca ii lipseste stabilitatea si transparenta, lucruri foarte importante pentru noi cetatenii. ",Daca as fi ministrul finantelor as reduce numarul de taxe si impozite si as incuraja investitiile. ,Sistemul fiscal actual ne ofera taxe  si impozite mult prea mari. 
"Sistemul fiscal romanesc este abolit de o birocratie excesiva, lucru nemultumitor. Privind situatia prin prisma unui presupus contribuabil, m-ar nemultumi si nivelul mare al taxelor, numarul mare de taxe, dar si incompetenta unor functionari publici care da nastere unei proaste relatii functionar-contribuabil. Totodata, este revoltatoare cota evaziunii fiscale ce se practica in tara noastra.","As fi mai sever in ceea ce priveste pedepsirea celor ce nu isi platesc impozitele, as evita introducerea de schimbari in legislatia fiscala ce au un grad inalt de incertitudine, as evita pe cat posibil conflictele cu mediul de afaceri.Totodata as incerca implementarea unei strategii fiscale moderne si as eficientiza procesele de colectare si alocare a fondurilor. Un alt aspect important ce l-as lua in vedere ar fi combaterea evaziunii fiscale. Tinand cont de conjuctura politica si economica de la nivelul Uniunii Europene, as cauta sa ne descurcam mai bine cu resurse proprii, astfel incat sa nu devenim dependenti de fondurile europene.Politica fiscală din România are nevoie si de mai multă stabilitate, transparenţă şi predictabilitate.","Eu consider ca sistemul fiscal actual din Romania ne ofera multe contradictii.Contribuabilul se vede invins de un sistem birocratic si corupt. Exista zeci de declaratii de depus, amenzi, controale abuzive din partea Fiscului, dobanzi si penalitati de intarziere, modificari aduse legislatiei dese si numeroase."
Ma nemultumeste faptul ca sistemul fiscal nu este transparent si nu ofera destula incredere.,"In primul rand as reduce arcizele la combustibil,energie
In al doilea rand as elimina birocratia.
In al treilea rand as reduce din taxe si impozite si as elimina taxele inutile.",Ofera nesiguranta intre cetateni si stat.
Se acorda prea multe pensii speciale ,Gestionarea resurselor,Loc bugetat la universitate si gratuitate pe mijloacele de transport feroviar
"Serviciile, personalul este slab caloficat si nu comunica frumos cu persoanele.
Birocrația excesivă.","Birocrația.
Taxele. Avem taxe mari, cum sunt taxele pe salarii si impozitul pe profit.",Servicii publice.
Prea multe taxe și impozite ,Aș scădea salariile parlamentarilor și aș crește alocațiile copiilor.,-
CA ESTE DESTUTUL DE INCREDERE SI STABIL,IMPOZITE SI TAXE MAI MICI,FINANTARE
"impozite prea mari
retinerea  unei cote prea mari din venituri","retinere unei cote mai mici din venituri
acordarea mai multor beneficii persoanelor care creeaza venit statului","siguranta
invatamant gratuit
ordine publica 
cultura sanatate
"
Impozite prea mari.,Ridicarea salariilor si scaderea retinerilor din acestea.,"Invatamant, sanatate, cultura."
"Sustragerea exagerata din veniturile cetatenilor, taxe si impozite prea mari","Salarii mai mari pentru a motiva cetatenii tarii sa nu o paraseasca si pentru o forta de munca mai activa, taxe si impozite mai mici, tva mai redusa ","Invatamant gratuit, securitate, ordine publica"
mecanismele de reglare ale sistemului fiscal,prevederile legale,Asigurare pe viitor
Harababura,Le-as pune la punct cat mai repede,Harababura
"Faptul că nu este stabil, se modifică prea des, anumite cote de impunere sunt prea mari, posibilitatea reinvestițiilor este relativ scăzută pentru anumite categorii de contribuabili, întrucât impunerea pe posibilele venituri este prea mare.","Aș încerca să modific anumite cote de impunere, probabil cele din zona de consum pentru a-i avantaja pe cei mai mulți dintre consumatori, astfel existând posibilitatea creșterii consumlui și implicit si a veniturilor încasate de către stat, dacă proporția cu care a crescut consumul este mai mare decât cea cu care a scăzut cota de impunere. ","Pentru că încă nu obțin un venit, pot spune că prin sistemul fiscal actual, statul  îmi oferă posibilitatea de a beneficia de educație și de servicii medicale gratuite."
Taxele si impozitele,Taxele si impozitele,Taxe si impozite mari
Taxele si impozitele ,Taxele si impozitele ,Taxe si impozite mari
Numărul mare de funcționari publici raportat la restul angajatilor companiilor private ,"As reduce ponderea veniturilor bugetare din taxe si impozite si as creste ponderea veniturilor bugetare din activități economice proprii  (comercializare energie electrică direct de la furnizori, exploatarea resurselor minerale direct de stat, etc )",Nimic
taxe prea mari,"cresterea ponderii veniturilor bugetare din activitati economice proprii statului-energia electrica comercilizata direct de producator, resurse exploatate de statul roman nu de straini, reinfintarea transporturilor navale si terestre, firme proprii, reconstructia industriei distrusa, o administrare mai eficienta a banului public etc",nimic
"Nemulțumirea mea față de sistemul fiscal românesc , este birocrația. ",Daca as fi ministrul finantelor publice as investi mai mult in dezvoltarea sistemului public pentru a ajunge la un aparat fiscal rapid si flexibil care ar facilita plata contribuabililor . As elimina cateva taxe si as incuraja mai mult investitiile. ,... 
taxele mari,Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.,un trai acceptabil
Prea multe taxe ,As incerca sa-l modelez in favoarea cetatenilor,Multe taxe si impozite 
Taxe și impozite,Bugetul ,Nu foarte multe
. ,. ,. 
Nimic,"Mai multă stabilitate, transparenţă şi predictabilitate",Urmăreşte realizarea obiectivelor politicii economice şi sociale a statului
Nimic ,Nimic,Nimic
Faptul că trebuie plătite foarte multe taxe și impozite. ,Aș schimba grila de impozitare. ,"Sistemul fiscal actual nu ne oferă atât de multe, dar în schimb ne cere să plătim taxe și impozite care se presupune că ne sunt de folos. Dar un exemplu ar putea fi iluminatul pubilc. "
Câteodată dă greș.,Să nu se facă atâtea proceduri  care sunt de obicei inutile pentru cetățeni și să se bazeze mai mult pe ce e important. ,"Pensii, salarii. "
Nu tine cont de toate criterii pe care le face.,"Sa nu trebuiasca sa facem atat de multe hartii, sa putem avea acces mai simplu la toate informațiile care ne privesc. ","Salarii, Pensii, Taxe"
Opacitatea operatiunilor care se petrec in cadrul acestuia.,"Claritatea,increderea,precizia,corectitudinea fata de cetateni.","Responsabilitatea,angajamentul unor serii de obligatii cu caracter repetitiv,care amprenteaza deciziile,motivatiile cetatenilor,astfel fiindu-le ingreunata existenta,traiul."
Nimic,L-aș simplifica,Diverse avantaje
Nimic,L-as simplifica,Diverse avantaje
Birocrația ,L-as simplifica,"
Diverse avantaje "
Taxele si impozitele invers proportionale cu salariile,Ordinea prioritatilor investitiilor,Un ajutor social in caz de nevoie
Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,"La impozitul total pe profitul companiilor, Romania are o cota situată sub media europeană. As pune mai mult accent pe aceasta problema",Sistemul fiscal actual ofera intr-o anumita masura stabilitatea economiei tarii
Taxele mari.,Sistemul de impozitare,O functie de asigurare a resurselor financiare.
Nu simt efectele încă.,Nu știu. ,Siguranță în viitor.
Ma nemultumeste sistemul de colectare  a taxelor si cota ridicata de taxare.,As accentua gradul de colectare si as lua masuri impotriva evaziunii fiscale.,Taxe si impozite foarte mari.
"Gradul scăzut de transparență, înregistrându-se o rata mare a fraudei","M-aș axa mult peeducarea populației să treacă pe bani electronici, eliminând treptat fluxul de numerar din economie care e mult mai greu de monitorizat","Servicii publice destul de calitative, nu mă pot exprima obiectiv întrucât abia de un an traiesc in România "
Lipsa de educație financiară,Totul,Nu îmi pot da seama încă
Schimbările prea dese și lipsa de predictibilitate pe termen lung. ,As incerca sa repar erorile din sistem si sa îl fac in asa fel încât  sa fie de incredere si un punct veridic de orientare pentru agenții economici din țară.,"Constante schimbări și fluctuatii, nefavorabile pentru o economie ca cea a Romaniei. "
Dezechilibrele in ceea ce privesc cheltuielile și veniturile ,Sistemul de impozitare și taxe ,"Un mod de cercetare al impozitelor, taxelor dar și procurarea de catre stat a veniturilor necesare balansarii cheltuielilor publice."
"Netransparența, corupția ","Aș căuta posibilități de a motiva, determina cetățenii să își plătească de bună voie contribuțiile; aș penaliza dur corupția; aș conferi încredere prin faptul că m-aș ține de cuvânt atunci când promit executarea anumitor lucrări( înnoirea spitalelor, educație financiară) ","Multe servicii contraplată( servicii medicale, învățământ) care în mod normal ar fi trebuit să fie gratis. "
"Netransparența, atitudinea arogantă, lipsa de profesionalism, birocrația etc.","Depunerea declarațiilor fiscale online, creșterea gradului de transparență etc.",Număr mare de taxe 
Taxele și impozitele care sunt parca necoordonate sau intr-o dezordine,Taxele și impozitele sa fie organizate și sa fie vizibil mai mici,Nu consider ca îmi oferă multe beneficii
Nimic,Taxele și impozitele să fie mai mici,Nu consider că îmi oferă prea multe beneficii
"Schimbarea Codului fiscal, opacitatea cheltuirii banilor si nejustificarea mișcărilor din cadru sistemului. ",As justifica fiecare miscare economică. ,Taxe si impozite nejustificata fiind destinația lor. 
Totul,Totul,Nimic
Transparenta,Aplicarea legilor,Siguranta si ordine
Taxele prea multe si variate,Nu știu,Birocrație masivă
Schimbarile frecvente,Fiecare entitate trebuie sa fie evaluat uniform,Stare de presiune
Cresterea impizitelor,Taxele,Bani platiti degeaba 
"Hiperbirocratie, descurajarea initierii intreprinzatorilor, taxe taxe taxe.",Mult prea multe de spus aici. Sa ne uitam inspre occident si chiar sa trecem oceanul(SUA),Taxe
Multe,Nu am cunoștințele necesare pe tru a raspunde la aceasta intrebare. ,Servicii publice decente
Multe...,Multe...,"Infrastructură, educație etc."
Prea multe taxe si impozite.,Reducerea taxelor și imppzitelor,Prea mari taxe si impozite. 
Modificările dese,Aproape tot,Siguranța 
Banii pe care nu știm pentru ce sunt folosiți ,Transparenta,Nimic 
Taxele si impozitele mari ,Reducerea impozitelor pe venit ,Serviicii 
birocratia,Eu as reduce contributia la stat si asi reduce numarul parlamentarilor si a altor categorii de persoane neproductive,posibilitati
Nu mă nemulțumește,Aș simplifica sistemul fiscal,Dureri de cap. 
Dam prea multi bani statului.,Sa nu mai dam asa multi bani la stat ca si angajat.,"Nimic, doar ne i-a."
.,As face tot posibilul sa-mi fac treaba asa cum trebuie ,"Sistemul fiscal român constă din totalitatea accizelor, impozitelor, taxelor plătite de persoanele fizice sau juridice române."
tazele si impozitele.,reducerea taxelor si a impozitelor.,putina incredere.
Nu mă nemulțumește nimic,Nu as schimba nimic,Momentan nimic
Nu ma nemultumeste nimic.Oamenii cu mintea luminata din varful sistemul isi fac bine treaba.E greu sa iei decizii care sa multumeasca pe toata lumea.,"Ca sa raspunzi la intrebarea asta,trebuie sa detii multa informatie ca om in domeniu.Nu sa dai un raspuns la intamplare.Eu sincer,nefiind foarte foarte informat cu ce se intampla in varful sistemului,momentan nu a-si schimba nimic.Dar daca a-si fi pus in situatia asta as incerca sa iau decizia ce mai buna in legatura cu schimbarile care trebuie facute.","Nu am nicio asteptare din exterior.Siguranta publica sa fie,macar atat.In rest,sistemul are grija sa tina masele(oamenii) la nivelul pe care il merita(sus sau jos).A-ti inteles ideea.Mie daca imi ofera ceva?Daca platim impozite directe si indirecte,accize(si alte taxe),statul la randul lui ii repartizeaza in alte parti.Nu vreau sa dau exemple ca le stiti dvs."
Ca oamenii nu stiu sa explice cum trebuie toate masurile si prevederile,Persoanele care sunt puse pentru a ne explica masurile si prevederile sistemului fiscal,O bataie de cap
Inca nu este bine pus la punct.,Distribuirea echilibrata a banilor.,Prea putine servicii publice.
